id,Date,Open,High,Low,Close,AdjClose,Volume,name
2747,14-04-2021,2299.3479,2449.6875,2284.563721,2435.10498,2435.10498,35592822986,ethereum
2748,15-04-2021,2436.034668,2544.267334,2409.924072,2519.116211,2519.116211,32325606817,ethereum
2749,16-04-2021,2516.601807,2547.555664,2318.675049,2431.946533,2431.946533,36196928256,ethereum
2750,17-04-2021,2429.980957,2497.385254,2333.682861,2344.89502,2344.89502,32349808978,ethereum
2751,18-04-2021,2346.452393,2365.460449,2011.766846,2237.136963,2237.136963,50696368718,ethereum
2752,19-04-2021,2238.032715,2276.776855,2086.688721,2166.188721,2166.188721,34060654971,ethereum
2753,20-04-2021,2161.939453,2345.834961,2060.143799,2330.210938,2330.210938,39433483315,ethereum
2754,21-04-2021,2331.160156,2467.200684,2238.366943,2364.751709,2364.751709,38899067643,ethereum
2755,22-04-2021,2357.871094,2641.094971,2315.960205,2403.535156,2403.535156,53575904724,ethereum
2756,23-04-2021,2401.256348,2439.537109,2117.039551,2363.586182,2363.586182,55413933925,ethereum
2757,24-04-2021,2367.199219,2367.740967,2163.693115,2211.625732,2211.625732,31854226936,ethereum
2758,25-04-2021,2214.413818,2354.08667,2172.515137,2316.05957,2316.05957,31814355546,ethereum
2759,26-04-2021,2319.478027,2536.337402,2308.315186,2534.481689,2534.481689,35208325408,ethereum
2760,27-04-2021,2534.03125,2676.392822,2485.375,2662.865234,2662.865234,32275969215,ethereum
2761,28-04-2021,2664.685547,2757.477295,2564.081543,2746.380127,2746.380127,34269031076,ethereum
2762,29-04-2021,2748.649658,2797.972412,2672.106689,2756.876953,2756.876953,32578127990,ethereum
2763,30-04-2021,2757.734131,2796.054932,2728.169922,2773.207031,2773.207031,29777179889,ethereum
2764,01-05-2021,2772.838379,2951.440918,2755.908447,2945.892822,2945.892822,28726205272,ethereum
2765,02-05-2021,2945.560059,2984.891846,2860.526123,2952.056152,2952.056152,28032013047,ethereum
2766,03-05-2021,2951.175781,3450.037842,2951.175781,3431.086182,3431.086182,49174290212,ethereum
2767,04-05-2021,3431.131592,3523.585938,3180.742676,3253.629395,3253.629395,62402045158,ethereum
2768,05-05-2021,3240.554688,3541.462646,3213.101563,3522.783203,3522.783203,48334198383,ethereum
2769,06-05-2021,3524.930908,3598.895996,3386.23999,3490.880371,3490.880371,44300394788,ethereum
2770,07-05-2021,3490.105225,3573.290039,3370.261963,3484.729004,3484.729004,39607240515,ethereum
2771,08-05-2021,3481.988037,3950.165039,3453.768555,3902.647705,3902.647705,50208491286,ethereum
2772,09-05-2021,3911.463135,3981.259033,3743.989014,3928.844727,3928.844727,50568290278,ethereum
2773,10-05-2021,3924.41333,4197.473145,3684.45166,3952.293945,3952.293945,62691789007,ethereum
2774,11-05-2021,3948.271973,4178.208984,3783.889404,4168.701172,4168.701172,52679737865,ethereum
2775,12-05-2021,4174.635742,4362.350586,3785.848633,3785.848633,3785.848633,69023382175,ethereum
2776,13-05-2021,3828.918457,4032.563477,3549.407227,3715.148438,3715.148438,78398214539,ethereum
2777,14-05-2021,3720.122314,4171.01709,3703.399902,4079.057373,4079.057373,48174271215,ethereum
2778,15-05-2021,4075.95166,4129.185547,3638.12207,3638.12207,3638.12207,42422321751,ethereum
2779,16-05-2021,3641.830811,3878.895996,3350.95166,3587.506104,3587.506104,47359478734,ethereum
2780,17-05-2021,3581.343018,3587.765625,3129.008789,3282.397705,3282.397705,54061732774,ethereum
2781,18-05-2021,3276.872314,3562.465088,3246.404053,3380.070068,3380.070068,40416525218,ethereum
2782,19-05-2021,3382.657227,3437.935791,1952.460205,2460.679199,2460.679199,84482912776,ethereum
2783,20-05-2021,2439.638672,2993.145264,2170.229004,2784.294189,2784.294189,67610826680,ethereum
2784,21-05-2021,2772.341309,2938.205078,2113.347168,2430.621338,2430.621338,53774070802,ethereum
2785,22-05-2021,2436.014648,2483.983154,2168.124268,2295.705566,2295.705566,42089937660,ethereum
2786,23-05-2021,2298.367188,2384.411621,1737.46875,2109.579834,2109.579834,56005721977,ethereum
2787,24-05-2021,2099.936035,2672.595703,2090.639648,2643.591064,2643.591064,53697121740,ethereum
2788,25-05-2021,2649.033203,2750.534912,2394.355469,2706.628906,2706.628906,49558333256,ethereum
2789,26-05-2021,2707.052734,2911.735596,2652.094482,2888.69873,2888.69873,42499766020,ethereum
2790,27-05-2021,2888.752441,2888.752441,2642.60791,2736.488525,2736.488525,33373635283,ethereum
2791,28-05-2021,2742.468994,2761.363281,2336.361328,2419.90625,2419.90625,39999114805,ethereum
2792,29-05-2021,2414.067139,2566.938477,2208.490967,2279.51416,2279.51416,33773720220,ethereum
2793,30-05-2021,2278.288818,2472.187744,2188.834473,2390.30542,2390.30542,25876619428,ethereum
2794,31-05-2021,2387.198486,2715.85498,2279.505127,2714.945313,2714.945313,31007383150,ethereum
2795,01-06-2021,2707.560547,2739.737549,2531.160645,2633.518311,2633.518311,27363223090,ethereum
2796,02-06-2021,2634.456055,2801.392334,2555.401367,2706.125,2706.125,27723267359,ethereum
2797,03-06-2021,2708.376221,2891.254883,2667.684326,2855.126465,2855.126465,30038207402,ethereum
2798,04-06-2021,2857.165527,2857.165527,2562.637451,2688.195068,2688.195068,34173841611,ethereum
2799,05-06-2021,2691.619385,2817.484863,2558.233643,2630.576904,2630.576904,30496672724,ethereum
2800,06-06-2021,2629.748779,2743.441162,2616.162354,2715.092773,2715.092773,25311639414,ethereum
2801,07-06-2021,2713.047363,2845.185059,2583.995117,2590.263184,2590.263184,30600111277,ethereum
2802,08-06-2021,2594.602295,2620.846191,2315.546631,2517.438721,2517.438721,41909736778,ethereum
2803,09-06-2021,2510.199219,2625.070557,2412.197754,2608.26709,2608.26709,36075832186,ethereum
2804,10-06-2021,2611.142578,2619.957764,2435.401611,2471.518555,2471.518555,28753626390,ethereum
2805,11-06-2021,2472.858887,2495.414795,2326.869629,2353.768799,2353.768799,24832564195,ethereum
2806,12-06-2021,2354.752197,2447.227783,2265.758057,2372.484375,2372.484375,25724364410,ethereum
2807,13-06-2021,2372.690186,2547.36792,2312.640137,2508.391602,2508.391602,27092945370,ethereum
2808,14-06-2021,2508.770508,2606.432861,2469.388184,2537.891113,2537.891113,26964576331,ethereum
2809,15-06-2021,2587.762695,2639.229248,2515.153076,2610.936768,2610.936768,29005279219,ethereum
2810,16-06-2021,2544.864746,2554.628906,2354.350586,2367.663574,2367.663574,24101926180,ethereum
2811,17-06-2021,2367.306396,2457.175537,2312.301514,2372.001953,2372.001953,21871633186,ethereum
2812,18-06-2021,2374.586914,2377.195068,2147.30835,2231.733154,2231.733154,22752818388,ethereum
2813,19-06-2021,2235.15918,2278.415039,2168.88501,2178.499023,2178.499023,18765854896,ethereum
2814,20-06-2021,2171.337891,2275.382813,2049.962646,2246.364502,2246.364502,22535930423,ethereum
2815,21-06-2021,2245.317871,2259.464111,1867.185425,1888.44751,1888.44751,33745173825,ethereum
2816,22-06-2021,1886.667603,1993.15979,1707.600586,1874.950073,1874.950073,35547251725,ethereum
2817,23-06-2021,1878.625,2043.530396,1827.571533,1989.736328,1989.736328,28408659206,ethereum
2818,24-06-2021,1968.957397,2032.339355,1887.432007,1988.456299,1988.456299,20272845769,ethereum
2819,25-06-2021,1989.21582,2017.759521,1794.400391,1813.217285,1813.217285,22774334998,ethereum
2820,26-06-2021,1810.884277,1850.17981,1719.559448,1829.239258,1829.239258,20637542361,ethereum
2821,27-06-2021,1830.996948,1979.95813,1811.24585,1978.894653,1978.894653,19885474742,ethereum
2822,28-06-2021,1981.386475,2139.80542,1963.615479,2079.657471,2079.657471,25514602841,ethereum
2823,29-06-2021,2083.44873,2242.23877,2076.240234,2160.768311,2160.768311,24815124419,ethereum
2824,30-06-2021,2164.216309,2282.989014,2090.760742,2274.547607,2274.547607,25828056268,ethereum
2825,01-07-2021,2274.397461,2274.397461,2081.081055,2113.605469,2113.605469,29061701793,ethereum
2826,02-07-2021,2109.892578,2155.596436,2021.824829,2150.040283,2150.040283,31796212554,ethereum
2827,03-07-2021,2150.834961,2237.567139,2117.590088,2226.114258,2226.114258,17433361641,ethereum
2828,04-07-2021,2226.550293,2384.286865,2190.837646,2321.724121,2321.724121,18787107473,ethereum
2829,05-07-2021,2321.922852,2321.922852,2163.041504,2198.58252,2198.58252,20103794829,ethereum
2830,06-07-2021,2197.919434,2346.294922,2197.919434,2324.679443,2324.679443,20891861314,ethereum
2831,07-07-2021,2323.208496,2403.773438,2298.026855,2315.161865,2315.161865,22398345285,ethereum
2832,08-07-2021,2317.949219,2324.006836,2089.414307,2120.026367,2120.026367,23188123689,ethereum
2833,09-07-2021,2115.573975,2185.376221,2051.06665,2146.692383,2146.692383,23029574602,ethereum
2834,10-07-2021,2146.999756,2190.124023,2081.923584,2111.403564,2111.403564,17581542471,ethereum
2835,11-07-2021,2110.875732,2172.65332,2083.803711,2139.664795,2139.664795,14705386138,ethereum
2836,12-07-2021,2140.506836,2167.710205,2011.018921,2036.721069,2036.721069,17768129077,ethereum
2837,13-07-2021,2034.098389,2040.693604,1922.577881,1940.083984,1940.083984,16621628658,ethereum
2838,14-07-2021,1941.167847,2015.107422,1869.223145,1994.331299,1994.331299,17342819679,ethereum
2839,15-07-2021,1994.712036,2037.742554,1883.272217,1911.175659,1911.175659,15688092552,ethereum
2840,16-07-2021,1916.598389,1959.696289,1853.590332,1880.382935,1880.382935,14884569147,ethereum
2841,17-07-2021,1876.881348,1917.5979,1855.59082,1898.825195,1898.825195,13364282076,ethereum
2842,18-07-2021,1900.194336,1988.336426,1883.012573,1895.552124,1895.552124,13791868728,ethereum
2843,19-07-2021,1893.053589,1916.118042,1807.909912,1817.296631,1817.296631,14157735481,ethereum
2844,20-07-2021,1819.082031,1836.998047,1722.050781,1787.510742,1787.510742,17368597636,ethereum
2845,21-07-2021,1786.276245,2025.68042,1759.023315,1990.970825,1990.970825,21253359756,ethereum
2846,22-07-2021,1994.822876,2044.116455,1954.297852,2025.202759,2025.202759,17495480331,ethereum
2847,23-07-2021,2025.105713,2129.441162,2000.436279,2124.776611,2124.776611,16200392492,ethereum
2848,24-07-2021,2123.961182,2197.649414,2107.323486,2189.21875,2189.21875,16057446601,ethereum
2849,25-07-2021,2187.145508,2194.438232,2108.829834,2191.373779,2191.373779,14566483636,ethereum
2850,26-07-2021,2191.309814,2428.817139,2177.32959,2233.366699,2233.366699,29614324233,ethereum
2851,27-07-2021,2230.197021,2316.950195,2154.731201,2298.333496,2298.333496,23067480378,ethereum
2852,28-07-2021,2302.081299,2341.777832,2250.914063,2296.54541,2296.54541,18991302378,ethereum
2853,29-07-2021,2299.011963,2396.451904,2273.404785,2380.956787,2380.956787,16313373113,ethereum
2854,30-07-2021,2382.545166,2469.704834,2322.337158,2466.961426,2466.961426,20212848934,ethereum
2855,31-07-2021,2461.575684,2551.161133,2423.816162,2536.209961,2536.209961,18001710283,ethereum
2856,01-08-2021,2530.462891,2695.429443,2520.931885,2561.852051,2561.852051,22697987055,ethereum
2857,02-08-2021,2557.774658,2665.730957,2511.375244,2610.15332,2610.15332,22162754104,ethereum
2858,03-08-2021,2609.413086,2630.314209,2449.353516,2502.349609,2502.349609,22696753413,ethereum
2859,04-08-2021,2508.544922,2764.443604,2463.469482,2724.619873,2724.619873,25038698173,ethereum
2860,05-08-2021,2725.669678,2840.430664,2540.684082,2827.328857,2827.328857,31057928075,ethereum
2861,06-08-2021,2827.503418,2944.90332,2727.792725,2890.94165,2890.94165,26528577879,ethereum
2862,07-08-2021,2891.70752,3170.229736,2868.535645,3157.23877,3157.23877,33081467129,ethereum
2863,08-08-2021,3161.232666,3184.604004,2951.747314,3013.732666,3013.732666,28433638008,ethereum
2864,09-08-2021,3012.885742,3185.701172,2900.926025,3167.856201,3167.856201,31983260936,ethereum
2865,10-08-2021,3163.050049,3228.940674,3059.229004,3141.691162,3141.691162,27605221710,ethereum
2866,11-08-2021,3142.830322,3269.209473,3122.916504,3164.245117,3164.245117,26729035052,ethereum
2867,12-08-2021,3164.175781,3236.314697,2984.166992,3043.414307,3043.414307,25403699845,ethereum
2868,13-08-2021,3049.001221,3324.671631,3037.676025,3322.21167,3322.21167,23868866254,ethereum
2869,14-08-2021,3322.762695,3329.281006,3214.519775,3265.443359,3265.443359,19860862133,ethereum
2870,15-08-2021,3266.276123,3320.084229,3117.791748,3310.50415,3310.50415,22166205051,ethereum
2871,16-08-2021,3309.422119,3333.994873,3139.778564,3156.509521,3156.509521,23080039949,ethereum
2872,17-08-2021,3149.380371,3288.812744,2996.468262,3014.845947,3014.845947,25509056745,ethereum
2873,18-08-2021,3011.963623,3124.976074,2959.02832,3020.089844,3020.089844,21539248425,ethereum
2874,19-08-2021,3019.126953,3184.435547,2963.150146,3182.702148,3182.702148,19546290360,ethereum
2875,20-08-2021,3182.162598,3298.246582,3178.10376,3286.935303,3286.935303,20885619828,ethereum
2876,21-08-2021,3286.931641,3307.351563,3209.866211,3226.083984,3226.083984,18113977628,ethereum
2877,22-08-2021,3226.227295,3272.733154,3142.00708,3242.115479,3242.115479,15983278460,ethereum
2878,23-08-2021,3241.357422,3373.384277,3235.851318,3319.257324,3319.257324,20511110509,ethereum
2879,24-08-2021,3324.855469,3358.688232,3154.121338,3172.456299,3172.456299,20131028906,ethereum
2880,25-08-2021,3174.269775,3248.727295,3086.11499,3224.915283,3224.915283,18902728235,ethereum
2881,26-08-2021,3228.747314,3249.655273,3060.22876,3100.325439,3100.325439,17405668117,ethereum
2882,27-08-2021,3096.406006,3281.840576,3064.485107,3270.60083,3270.60083,18489602004,ethereum
2883,28-08-2021,3275.104492,3284.845947,3217.403564,3244.40332,3244.40332,13709633698,ethereum
2884,29-08-2021,3246.770996,3283.235596,3158.840332,3227.002686,3227.002686,13296586731,ethereum
2885,30-08-2021,3227.192627,3346.581055,3151.44458,3224.374268,3224.374268,19306924485,ethereum
2886,31-08-2021,3227.758057,3466.992188,3195.216553,3433.732666,3433.732666,27280502987,ethereum
2887,01-09-2021,3430.762451,3836.867432,3387.408447,3834.828125,3834.828125,30070890104,ethereum
2888,02-09-2021,3825.027832,3830.711426,3726.750488,3790.98999,3790.98999,24387397330,ethereum
2889,03-09-2021,3787.486572,4022.469238,3712.678223,3940.614746,3940.614746,26207765094,ethereum
2890,04-09-2021,3937.910156,3969.44873,3837.931152,3887.828369,3887.828369,20806963328,ethereum
2891,05-09-2021,3886.331055,3979.186523,3838.487305,3952.133545,3952.133545,18371468576,ethereum
2892,06-09-2021,3951.520752,3968.426514,3868.994385,3928.379395,3928.379395,18674691198,ethereum
2893,07-09-2021,3926.527588,3945.314209,3062.222412,3426.394287,3426.394287,39131346397,ethereum
2894,08-09-2021,3428.378174,3559.121338,3224.764893,3497.315186,3497.315186,31738430771,ethereum
2895,09-09-2021,3452.54834,3562.992676,3400.51709,3427.340088,3427.340088,24118055831,ethereum
2896,10-09-2021,3425.564941,3512.571289,3157.059082,3211.505859,3211.505859,22355974097,ethereum
2897,11-09-2021,3209.030518,3346.526367,3208.961914,3270.278076,3270.278076,18627122934,ethereum
2898,12-09-2021,3270.291748,3462.468262,3235.109375,3410.134521,3410.134521,16810411424,ethereum
2899,13-09-2021,3407.471924,3426.502197,3121.51416,3285.511719,3285.511719,22721552948,ethereum
2900,14-09-2021,3286.316406,3429.169678,3273.630859,3429.169678,3429.169678,19125420848,ethereum
2901,15-09-2021,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804,ethereum
2902,16-09-2021,3613.07373,3673.310791,3489.805664,3571.294922,3571.294922,20093903064,ethereum
2903,17-09-2021,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229,ethereum
2904,18-09-2021,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233,ethereum
2905,19-09-2021,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743,ethereum
2906,20-09-2021,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581,ethereum
2907,21-09-2021,2977.310547,3101.69751,2676.407471,2764.431152,2764.431152,30405062665,ethereum
2908,22-09-2021,2763.209229,3089.083008,2741.440674,3077.86792,3077.86792,23742102645,ethereum
2909,23-09-2021,3077.974365,3173.544678,3038.0979,3155.523682,3155.523682,18516291047,ethereum
2910,24-09-2021,3154.562012,3159.644043,2747.337646,2931.669189,2931.669189,25595422789,ethereum
2911,25-09-2021,2930.884766,2968.994629,2818.970459,2925.565674,2925.565674,18932786754,ethereum
2912,26-09-2021,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310,ethereum
2913,27-09-2021,3065.837891,3163.665039,2932.692871,2934.138916,2934.138916,19164053681,ethereum
2914,28-09-2021,2928.963379,2970.770508,2793.360596,2807.296631,2807.296631,16895079070,ethereum
2915,29-09-2021,2809.297607,2946.881348,2786.988281,2853.143311,2853.143311,15763456158,ethereum
2916,30-09-2021,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099,ethereum
2917,01-10-2021,3001.129395,3329.853516,2978.654297,3307.516113,3307.516113,22307625573,ethereum
2918,02-10-2021,3308.870361,3464.837402,3260.027588,3391.694336,3391.694336,19202671704,ethereum
2919,03-10-2021,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862,ethereum
2920,04-10-2021,3418.776367,3434.775391,3283.44873,3380.089111,3380.089111,17747154101,ethereum
2921,05-10-2021,3381.784424,3541.45166,3365.817627,3518.518555,3518.518555,16632591670,ethereum
2922,06-10-2021,3516.570313,3622.55127,3354.469727,3580.562012,3580.562012,21855226591,ethereum
2923,07-10-2021,3576.814453,3650.013184,3479.90918,3587.974854,3587.974854,19090322927,ethereum
2924,08-10-2021,3587.832764,3667.95752,3547.828125,3563.759277,3563.759277,16222029488,ethereum
2925,09-10-2021,3559.997803,3628.237305,3544.640381,3575.716797,3575.716797,12707036942,ethereum
2926,10-10-2021,3575.020508,3603.244873,3414.970947,3425.852783,3425.852783,16171746693,ethereum
2927,11-10-2021,3419.726807,3622.289551,3385.761719,3545.354004,3545.354004,18579189588,ethereum
2928,12-10-2021,3546.477783,3546.477783,3407.338135,3492.573242,3492.573242,18109578443,ethereum
2929,13-10-2021,3492.753662,3607.741699,3417.602051,3606.20166,3606.20166,16211275589,ethereum
2930,14-10-2021,3604.958984,3819.258545,3590.275146,3786.01416,3786.01416,19443499909,ethereum
2931,15-10-2021,3790.154297,3895.466309,3735.363525,3862.634766,3862.634766,20966841512,ethereum
2932,16-10-2021,3865.666504,3962.453125,3805.885986,3830.38208,3830.38208,16578095629,ethereum
2933,17-10-2021,3829.858887,3914.897949,3660.723389,3847.104492,3847.104492,15908090346,ethereum
2934,18-10-2021,3847.72998,3888.209229,3686.750488,3748.760254,3748.760254,17386204158,ethereum
2935,19-10-2021,3747.162842,3883.928711,3736.780273,3877.650879,3877.650879,15998757133,ethereum
2936,20-10-2021,3877.730957,4167.472168,3833.288086,4155.992188,4155.992188,20338319988,ethereum
2937,21-10-2021,4161.713379,4366.088379,4032.483887,4054.322754,4054.322754,28220661820,ethereum
2938,22-10-2021,4055.686523,4162.975586,3908.340332,3970.181885,3970.181885,19432937968,ethereum
2939,23-10-2021,3971.356445,4171.663574,3944.631836,4171.663574,4171.663574,14781537792,ethereum
2940,24-10-2021,4171.855957,4185.729492,3967.120361,4087.903076,4087.903076,14978083638,ethereum
2941,25-10-2021,4084.425781,4236.666992,4072.034668,4217.876953,4217.876953,15995727040,ethereum
2942,26-10-2021,4217.337891,4289.131348,4106.82373,4131.102051,4131.102051,17157714562,ethereum
2943,27-10-2021,4132.17334,4299.152832,3930.257324,3930.257324,3930.257324,26219530404,ethereum
2944,28-10-2021,3924.81543,4293.150879,3905.706055,4287.318848,4287.318848,25958154575,ethereum
2945,29-10-2021,4288.686523,4455.735352,4271.70752,4414.746582,4414.746582,22967641914,ethereum
2946,30-10-2021,4414.243652,4426.848633,4252.494141,4325.650391,4325.650391,14615490626,ethereum
2947,31-10-2021,4322.744141,4394.449707,4179.016113,4288.074219,4288.074219,17498160238,ethereum
2948,01-11-2021,4288.217285,4377.322266,4160.966797,4324.626953,4324.626953,17985288261,ethereum
2949,02-11-2021,4322.500977,4599.948242,4288.686523,4584.798828,4584.798828,20794448222,ethereum
2950,03-11-2021,4589.68457,4664.910156,4462.976074,4607.193848,4607.193848,21220463155,ethereum
2951,04-11-2021,4604.678711,4606.516113,4426.622559,4537.324219,4537.324219,18415244464,ethereum
2952,05-11-2021,4537.42334,4570.895996,4447.487305,4486.243164,4486.243164,15086003586,ethereum
2953,06-11-2021,4482.647949,4530.99707,4334.973633,4521.581055,4521.581055,14429076700,ethereum
2954,07-11-2021,4523.981934,4640.921875,4510.984375,4620.554688,4620.554688,13541376033,ethereum
2955,08-11-2021,4619.649414,4822.363281,4619.649414,4812.087402,4812.087402,19290896267,ethereum
2956,09-11-2021,4810.071289,4837.589355,4718.039063,4735.068848,4735.068848,20834172627,ethereum
2957,10-11-2021,4733.362793,4859.50293,4485.093262,4636.174316,4636.174316,22748160545,ethereum
2958,11-11-2021,4635.453613,4778.059082,4580.990234,4730.384277,4730.384277,17933201129,ethereum
2959,12-11-2021,4724.306641,4808.73877,4510.92041,4667.115234,4667.115234,18316060208,ethereum
2960,13-11-2021,4666.719238,4702.115234,4582.180664,4651.460449,4651.460449,14457436261,ethereum
2961,14-11-2021,4648.632813,4689.842773,4516.935547,4626.358887,4626.358887,12172962219,ethereum
2962,15-11-2021,4627.09082,4764.63623,4546.599121,4557.503906,4557.503906,16275851299,ethereum
2963,16-11-2021,4570.478027,4891.70459,4144.334961,4216.365234,4216.365234,27417502801,ethereum
2964,17-11-2021,4213.910645,4300.306641,4107.125977,4287.59375,4287.59375,22183461850,ethereum
2965,18-11-2021,4287.802246,4343.557129,3959.227783,4000.650879,4000.650879,21383250893,ethereum
2966,19-11-2021,3995.729492,4311.713867,3982.91748,4298.306641,4298.306641,20626269711,ethereum
2967,20-11-2021,4298.350586,4434.388184,4209.242676,4409.931152,4409.931152,15448261277,ethereum
2968,21-11-2021,4412.195313,4422.491699,4255.455078,4269.73291,4269.73291,14094831413,ethereum
2969,22-11-2021,4266.509277,4302.022949,4033.572266,4088.457764,4088.457764,19752218877,ethereum
2970,23-11-2021,4089.68042,4385.483398,4069.766602,4340.763672,4340.763672,22133497059,ethereum
2971,24-11-2021,4340.036133,4376.875977,4176.183594,4239.981445,4239.981445,21838037128,ethereum
2972,25-11-2021,4271.394531,4550.518066,4249.774414,4274.743164,4274.743164,18705358318,ethereum
2973,26-11-2021,4522.208984,4550.842285,3933.506592,4030.908936,4030.908936,26281795488,ethereum
2974,27-11-2021,4042.999023,4187.684082,4033.513916,4096.912109,4096.912109,16515693874,ethereum
2975,28-11-2021,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340,ethereum
2976,29-11-2021,4296.946777,4460.848633,4284.504883,4445.10498,4445.10498,19086475837,ethereum
2977,30-11-2021,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111,ethereum
2978,01-12-2021,4623.679688,4780.732422,4530.272461,4586.990234,4586.990234,27634826695,ethereum
2979,02-12-2021,4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027,ethereum
2980,03-12-2021,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528,ethereum
2981,04-12-2021,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182,ethereum
2982,05-12-2021,4119.628906,4246.92334,4040.217529,4198.322754,4198.322754,25533062707,ethereum
2983,06-12-2021,4199,4375.520508,3930.806641,4358.737305,4358.737305,28229518513,ethereum
2984,07-12-2021,4358.586914,4428.589355,4264.32373,4315.061523,4315.061523,22366213354,ethereum
2985,08-12-2021,4311.674316,4453.112305,4234.537598,4439.35791,4439.35791,18704315119,ethereum
2986,09-12-2021,4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874,ethereum
2987,10-12-2021,4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631,ethereum
2988,11-12-2021,3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454,ethereum
2989,12-12-2021,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914,ethereum
2990,13-12-2021,4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386,ethereum
2991,14-12-2021,3782.822754,3866.633789,3700.104736,3745.44043,3745.44043,23836759957,ethereum
2992,15-12-2021,3862.251465,4086.372803,3664.719971,4018.388672,4018.388672,26411188833,ethereum
2993,16-12-2021,4020.415039,4110.368652,3956.057129,3962.469727,3962.469727,19825531254,ethereum
2994,17-12-2021,3959.012451,3992.79248,3711.424561,3879.486572,3879.486572,23143541098,ethereum
2995,18-12-2021,3880.291504,3993.829834,3774.61499,3960.860107,3960.860107,19530895889,ethereum
2996,19-12-2021,3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597,ethereum
2997,20-12-2021,3923.695801,3980.098633,3759.40332,3933.844482,3933.844482,21589690675,ethereum
2998,21-12-2021,3938.463867,4058.821289,3918.837891,4020.26001,4020.26001,16388555198,ethereum
2999,22-12-2021,4018.695801,4073.791504,3947.690186,3982.099609,3982.099609,13921756199,ethereum
3000,23-12-2021,3981.96167,4149.026855,3897.234375,4108.015625,4108.015625,18007273742,ethereum
3001,24-12-2021,4111.345215,4134.106445,4029.064453,4047.98291,4047.98291,12769090623,ethereum
3002,25-12-2021,4049.781982,4138.564941,4027.927002,4093.281006,4093.281006,10894785525,ethereum
3003,26-12-2021,4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172,ethereum
3004,27-12-2021,4064.746338,4126.001465,4033.492432,4037.547607,4037.547607,11424360002,ethereum
3005,28-12-2021,4037.538086,4037.538086,3769.280029,3800.893066,3800.893066,17299472803,ethereum
3006,29-12-2021,3797.436279,3827.981934,3612.795898,3628.531738,3628.531738,15722555672,ethereum
3007,30-12-2021,3632.219727,3767.559814,3595.204834,3713.852051,3713.852051,12925377999,ethereum
3008,31-12-2021,3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268,ethereum
3009,01-01-2022,3683.047119,3769.917969,3682.286621,3769.697021,3769.697021,9776191466,ethereum
3010,02-01-2022,3769.29834,3836.161865,3727.357422,3829.564941,3829.564941,9881471548,ethereum
3011,03-01-2022,3829.535645,3836.19873,3698.047607,3761.380371,3761.380371,12080777893,ethereum
3012,04-01-2022,3761.361572,3876.785156,3723.349854,3794.056641,3794.056641,14030925983,ethereum
3013,05-01-2022,3794.269043,3842.059814,3456.745361,3550.386963,3550.386963,18061338502,ethereum
3014,06-01-2022,3549.708984,3549.708984,3335.376709,3418.408203,3418.408203,24293791313,ethereum
3015,07-01-2022,3417.837891,3420.461914,3117.381348,3193.210449,3193.210449,24494179209,ethereum
3016,08-01-2022,3193.502441,3240.304443,3020.880859,3091.972656,3091.972656,16037732700,ethereum
3017,09-01-2022,3091.696289,3206.790771,3075.911377,3157.751465,3157.751465,12334683863,ethereum
3018,10-01-2022,3157.570557,3177.213379,2947.683594,3083.0979,3083.0979,19535744145,ethereum
3019,11-01-2022,3082.990967,3247.511963,3061.140625,3238.111572,3238.111572,15211447193,ethereum
3020,12-01-2022,3238.449951,3401.219971,3216.718018,3372.258301,3372.258301,16662871689,ethereum
3021,13-01-2022,3372.10498,3396.969727,3247.91748,3248.288574,3248.288574,15294466275,ethereum
3022,14-01-2022,3248.648682,3330.766113,3203.82373,3310.001465,3310.001465,13562957230,ethereum
3023,15-01-2022,3309.844238,3364.537842,3278.670898,3330.530762,3330.530762,9619999078,ethereum
3024,16-01-2022,3330.387207,3376.401123,3291.563721,3350.921875,3350.921875,9505934874,ethereum
3025,17-01-2022,3350.947266,3355.819336,3157.224121,3212.304932,3212.304932,12344309617,ethereum
